Plant Code,Plant Name,State,County,solar_mw,Latitude,Longitude,landfalls_100km
59206,Alamo 6,TX,Pecos,105.0,30.993056,-102.270833,0
59896,Butler Solar Project 103,GA,Taylor,104.0,32.561944,-84.275833,0
62367,SR Arlington II,GA,Early,102.5,31.415531,-84.830714,0
60372,Lamesa Solar,TX,Dawson,102.0,32.715611,-101.926522,0
60064,"White Pine Solar, LLC",GA,Taylor,101.2,32.506017,-84.256976,0
59205,OCI Alamo 5 LLC,TX,Uvalde,100.0,29.216667,-99.716111,0
59207,OCI Alamo 7 LLC,TX,Haskell,100.0,33.04,-99.5525,0
59665,Innovative Solar 37 LLC,NC,Anson,100.0,34.838297,-79.943889,0
61422,"Southampton Solar, LLC",VA,Southampton,100.0,36.614,-77.166,0
62415,West of the Pecos Solar,TX,Reeves,100.0,31.4308,-103.7289,0
62448,Lapetus,TX,Andrews,100.0,32.460054,-102.672809,0
62798,Fern Solar LLC,NC,Edgecombe,100.0,36.003272,-77.696443,0
62814,Sadler Solar,VA,Greensville,100.0,36.6867,-77.558,0
63765,Black Bear Solar 1,AL,Montgomery,100.0,32.196971,-86.327341,0
64081,Sunflower County,MS,Sunflower,100.0,33.757767,-90.536465,0
64191,SR Lumpkin,GA,Stewart,100.0,32.025,-84.7325,0
64259,BPL Crown Solar LLC,TX,Falls,100.0,31.346717,-97.082774,0
64260,BPL Sol Solar LLC,TX,Falls,100.0,31.346717,-97.082774,0
66240,Ragsdale Solar LLC,MS,Madison,100.0,32.550998,-90.009684,0
66369,"Wildflower Solar, LLC (MS)",MS,DeSoto,100.0,34.962,-90.184,0
66410,Grizzly Ridge Solar,TX,Hamilton,100.0,31.738177,-98.213739,0
66759,Delta's Edge Solar,MS,Carroll,100.0,33.5,-90.1,0
66623,Harvest Gold Solar,MS,Sunflower,99.0,33.505,-90.636,0
67104,Bayou Galion Solar Project,LA,Morehouse Parish,98.1,32.79754,-91.78413,0
61986,Spring Grove I,VA,Surry,97.9,37.173916,-76.919245,0
62730,Desper Solar,VA,Louisa,88.2,38.015735,-78.043131,0
62165,Snipesville,GA,Jeff Davis,86.0,31.715814,-82.74946,0
67421,Cavalier Solar A2,VA,Isle of Wight,84.4,37.018,-76.7358,0
